"Status","Name","DisplayName","CanPauseAndContinue","CanShutdown","CanStop","StartType","ServiceType","DependentServices"
"Stopped","SmsRouter","Microsoft Windows SMS Router Service.","False","False","False","Manual","Win32ShareProcess",""
"Stopped","SNMPTrap","SNMP Trap","False","False","False","Manual","Win32OwnProcess",""
"Running","Spooler","Print Spooler","False","False","True","Automatic","Win32OwnProcess, InteractiveProcess",""
"Stopped","sppsvc","Software Protection","False","False","False","Automatic","Win32OwnProcess",""
"Stopped","SSDPSRV","SSDP Discovery","False","False","False","Manual","Win32ShareProcess","upnphost"
"Running","SstpSvc","Secure Socket Tunneling Protocol Service","False","True","True","Manual","Win32OwnProcess, Win32ShareProcess","RemoteAccess;RasMan"
"Running","StateRepository","State Repository Service","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess","camsvc;AppXSvc"
"Running","StiSvc","Windows Image Acquisition (WIA)","True","True","True","Automatic","Win32OwnProcess",""
"Running","StorSvc","Storage Service","False","False","True","Automatic","Win32OwnProcess",""
"Stopped","svsvc","Spot Verifier","False","False","False","Manual","Win32ShareProcess",""
"Stopped","swprv","Microsoft Software Shadow Copy Provider","False","False","False","Manual","Win32OwnProcess",""
"Running","SysMain","SysMain","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Running","SystemEventsBroker","System Events Broker","False","False","True","Automatic","Win32ShareProcess","refsdedupsvc;NaturalAuthentication;Schedule"
"Running","TapiSrv","Telephony","True","False","True","Manual","Win32OwnProcess, Win32ShareProcess","RemoteAccess;RasMan"
"Stopped","TermService","Remote Desktop Services","False","False","False","Manual","Win32ShareProcess","UmRdpService"
"Running","TextInputManagementService","Text Input Management Service","False","False","False","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Running","Themes","Themes","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Stopped","TieringEngineService","Storage Tiers Management","False","False","False","Manual","Win32OwnProcess",""
"Running","TimeBrokerSvc","Time Broker","False","False","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Running","TokenBroker","Web Account Manager","False","False","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Running","TrkWks","Distributed Link Tracking Client","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Stopped","TroubleshootingSvc","Recommended Troubleshooting Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","TrustedInstaller","Windows Modules Installer","False","False","False","Manual","Win32OwnProcess",""
"Stopped","tzautoupdate","Auto Time Zone Updater","False","False","False","Disabled","Win32ShareProcess",""
"Running","UdkUserSvc_47e64","Udk User Service_47e64","False","False","True","Manual","240",""
"Stopped","UmRdpService","Remote Desktop Services UserMode Port Redirector","False","False","False","Manual","Win32ShareProcess",""
"Stopped","UnistoreSvc_47e64","User Data Storage_47e64","False","False","False","Manual","224","UserDataSvc_47e64;PimIndexMaintenanceSvc_47e64"
"Stopped","upnphost","UPnP Device Host","False","False","False","Manual","Win32ShareProcess",""
"Stopped","UserDataSvc_47e64","User Data Access_47e64","False","False","False","Manual","224",""
"Running","UserManager","User Manager","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess","XblGameSave;TokenBroker"
"Running","UsoSvc","Update Orchestrator Service","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Stopped","VaultSvc","Credential Manager","False","False","False","Manual","Win32ShareProcess",""
"Stopped","vds","Virtual Disk","False","False","False","Manual","Win32OwnProcess",""
"Running","VMAuthdService","VMware Authorization Service","False","False","True","Automatic","Win32OwnProcess",""
"Stopped","vmicguestinterface","Hyper-V Guest Service Interface","False","False","False","Manual","Win32ShareProcess",""
"Stopped","vmicheartbeat","Hyper-V Heartbeat Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","vmickvpexchange","Hyper-V Data Exchange Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","vmicrdv","Hyper-V Remote Desktop Virtualization Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","vmicshutdown","Hyper-V Guest Shutdown Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","vmictimesync","Hyper-V Time Synchronization Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","vmicvmsession","Hyper-V PowerShell Direct Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","vmicvss","Hyper-V Volume Shadow Copy Requestor","False","False","False","Manual","Win32ShareProcess",""
"Running","VMnetDHCP","VMware DHCP Service","False","False","True","Automatic","Win32OwnProcess",""
"Running","VMUSBArbService","VMware USB Arbitration Service","False","False","True","Automatic","Win32OwnProcess",""
"Running","VMware NAT Service","VMware NAT Service","False","False","True","Automatic","Win32OwnProcess",""
"Stopped","VmwareAutostartService","VMware Autostart Service","False","False","False","Manual","Win32OwnProcess",""
"Stopped","VSS","Volume Shadow Copy","False","False","False","Manual","Win32OwnProcess",""
"Stopped","W32Time","Windows Time","False","False","False","Manual","Win32ShareProcess",""
"Stopped","WaaSMedicSvc","WaaSMedicSvc","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","WalletService","WalletService","False","False","False","Manual","Win32ShareProcess",""
"Stopped","WarpJITSvc","Warp JIT Service","False","False","False","Manual","Win32OwnProcess",""
"Stopped","wbengine","Block Level Backup Engine Service","False","False","False","Manual","Win32OwnProcess",""
"Stopped","WbioSrvc","Windows Biometric Service","False","False","False","Manual","Win32ShareProcess",""
"Running","Wcmsvc","Windows Connection Manager","False","True","True","Automatic","Win32OwnProcess","WlanSvc;icssvc"
"Stopped","wcncsvc","Windows Connect Now - Config Registrar","False","False","False","Manual","Win32ShareProcess",""
"Stopped","WdiServiceHost","Diagnostic Service Host","False","False","False","Manual","Win32ShareProcess",""
"Running","WdiSystemHost","Diagnostic System Host","False","True","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Running","WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","False","False","True","Manual","Win32OwnProcess",""
"Stopped","WebClient","WebClient","False","False","False","Manual","Win32ShareProcess",""
"Running","webthreatdefsvc","Web Threat Defense Service","True","True","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Running","webthreatdefusersvc_47e64","Web Threat Defense User Service_47e64","True","True","True","Automatic","240",""
"Stopped","Wecsvc","Windows Event Collector","False","False","False","Manual","Win32ShareProcess",""
"Stopped","WEPHOSTSVC","Windows Encryption Provider Host Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","wercplsupport","Problem Reports Control Panel Support","False","False","False","Manual","Win32ShareProcess",""
"Stopped","WerSvc","Windows Error Reporting Service","False","False","False","Manual","Win32OwnProcess",""
"Stopped","WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Running","whesvc","Windows Health and Optimized Experiences","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Stopped","WiaRpc","Still Image Acquisition Events","False","False","False","Manual","Win32ShareProcess",""
"Running","WinDefend","Microsoft Defender Antivirus Service","False","True","False","Automatic","Win32OwnProcess",""
"Running","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","False","True","False","Manual","Win32OwnProcess","WlanSvc;icssvc;Wcmsvc;NcaSvc;iphlpsvc"
"Running","Winmgmt","Windows Management Instrumentation","True","True","True","Automatic","Win32OwnProcess, Win32ShareProcess","VMUSBArbService;VMAuthdService"
"Stopped","WinRM","Windows Remote Management (WS-Management)","False","False","False","Manual","Win32ShareProcess",""
"Stopped","wisvc","Windows Insider Service","False","False","False","Manual","Win32ShareProcess",""
"Running","WlanSvc","WLAN AutoConfig","False","True","True","Automatic","Win32OwnProcess",""
"Stopped","wlidsvc","Microsoft Account Sign-in Assistant","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","wlpasvc","Local Profile Assistant Service","False","False","False","Manual","Win32ShareProcess","McmSvc"
"Stopped","WManSvc","Windows Management Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","wmiApSrv","WMI Performance Adapter","False","False","False","Manual","Win32OwnProcess",""
"Running","WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","False","False","True","Automatic","Win32OwnProcess",""
"Stopped","workfolderssvc","Work Folders","False","False","False","Manual","Win32ShareProcess",""
"Stopped","WpcMonSvc","Parental Controls","False","False","False","Manual","Win32OwnProcess",""
"Stopped","WPDBusEnum","Portable Device Enumerator Service","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Running","WpnService","Windows Push Notifications System Service","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Running","WpnUserService_47e64","Windows Push Notifications User Service_47e64","False","False","True","Automatic","240",""
"Running","WSAIFabricSvc","WSAIFabricSvc","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Running","wscsvc","Security Center","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Running","WSearch","Windows Search","False","True","True","Automatic","Win32OwnProcess","workfolderssvc"
"Stopped","wuauserv","Windows Update","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","WwanSvc","WWAN AutoConfig","False","False","False","Manual","Win32ShareProcess","McmSvc;wlpasvc"
"Stopped","XblAuthManager","Xbox Live Auth Manager","False","False","False","Manual","Win32ShareProcess","XblGameSave"
"Stopped","XblGameSave","Xbox Live Game Save","False","False","False","Manual","Win32ShareProcess",""
"Stopped","XboxGipSvc","Xbox Accessory Management Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","XboxNetApiSvc","Xbox Live Networking Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","ZTHELPER","ZTHELPER","False","False","False","Manual","Win32OwnProcess",""
